,DATE,day_of_week,Month
260107,2009-05-30,Saturday,May
260108,2009-01-05,Monday,January
260113,2009-10-03,Saturday,October
260119,2009-12-15,Tuesday,December
260128,2009-12-29,Tuesday,December
260134,2009-05-10,Sunday,May
260141,2009-12-21,Monday,December
260142,2009-08-02,Sunday,August
260143,2009-12-23,Wednesday,December
260144,2009-02-02,Monday,February
260146,2009-10-16,Friday,October
260151,2009-11-25,Wednesday,November
260162,2009-12-26,Saturday,December
260167,2009-12-03,Thursday,December
260181,2009-09-15,Tuesday,September
260182,2009-09-25,Friday,September
260187,2009-06-24,Wednesday,June
260188,2009-03-24,Tuesday,March
260202,2009-04-03,Friday,April
260209,2009-03-08,Sunday,March
260232,2009-10-07,Wednesday,October
260241,2009-01-24,Saturday,January
260253,2009-05-07,Thursday,May
260265,2009-11-05,Thursday,November
260273,2009-12-08,Tuesday,December
260276,2009-10-28,Wednesday,October
260306,2009-03-30,Monday,March
260310,2009-04-24,Friday,April
260313,2009-04-20,Monday,April
260319,2009-01-08,Thursday,January
260330,2009-04-18,Saturday,April
260338,2009-12-01,Tuesday,December
260355,2009-07-04,Saturday,July
260383,2009-09-18,Friday,September
260422,2009-03-16,Monday,March
260444,2009-10-24,Saturday,October
260466,2009-10-05,Monday,October
260470,2009-03-09,Monday,March
260496,2009-05-31,Sunday,May
260498,2009-10-11,Sunday,October
260527,2009-05-04,Monday,May
260535,2009-10-27,Tuesday,October
260557,2009-02-10,Tuesday,February
260578,2009-10-22,Thursday,October
260581,2009-07-25,Saturday,July
260583,2009-05-02,Saturday,May
260629,2009-06-09,Tuesday,June
260679,2009-03-26,Thursday,March
260719,2009-09-11,Friday,September
260739,2009-02-28,Saturday,February
260768,2009-11-08,Sunday,November
260770,2009-12-12,Saturday,December
260798,2009-05-26,Tuesday,May
260802,2009-11-17,Tuesday,November
260811,2009-03-15,Sunday,March
260816,2009-06-21,Sunday,June
260836,2009-09-30,Wednesday,September
260856,2009-05-20,Wednesday,May
260868,2009-05-05,Tuesday,May
260882,2009-04-15,Wednesday,April
260932,2009-10-06,Tuesday,October
260940,2009-09-12,Saturday,September
261119,2009-04-27,Monday,April
261167,2009-07-17,Friday,July
261196,2009-01-07,Wednesday,January
261376,2009-03-23,Monday,March
261382,2009-10-14,Wednesday,October
261499,2009-04-01,Wednesday,April
261505,2009-01-27,Tuesday,January
261523,2009-11-26,Thursday,November
261570,2009-04-12,Sunday,April
261610,2009-01-09,Friday,January
291471,2010-01-02,Saturday,January
291473,2010-12-02,Thursday,December
291474,2010-04-27,Tuesday,April
291475,2010-06-23,Wednesday,June
291476,2010-08-16,Monday,August
291477,2010-04-07,Wednesday,April
291478,2010-05-26,Wednesday,May
291479,2010-01-17,Sunday,January
291480,2010-04-18,Sunday,April
291481,2010-02-10,Wednesday,February
291482,2010-12-26,Sunday,December
291483,2010-07-14,Wednesday,July
291484,2010-10-13,Wednesday,October
291485,2010-12-29,Wednesday,December
291486,2010-09-26,Sunday,September
291488,2010-09-29,Wednesday,September
291489,2010-08-20,Friday,August
291490,2010-07-31,Saturday,July
291491,2010-04-03,Saturday,April
291492,2010-08-29,Sunday,August
291493,2010-10-23,Saturday,October
291494,2010-09-03,Friday,September
291495,2010-12-24,Friday,December
291496,2010-10-17,Sunday,October
291497,2010-10-30,Saturday,October
291498,2010-12-23,Thursday,December
291499,2010-12-18,Saturday,December
291500,2010-12-30,Thursday,December
291501,2010-04-23,Friday,April
291502,2010-11-06,Saturday,November
291503,2010-01-24,Sunday,January
291504,2010-02-20,Saturday,February
291505,2010-10-28,Thursday,October
291507,2010-10-07,Thursday,October
291508,2010-03-08,Monday,March
291509,2010-11-21,Sunday,November
291510,2010-08-24,Tuesday,August
291511,2010-08-15,Sunday,August
291512,2010-10-19,Tuesday,October
291513,2010-01-21,Thursday,January
291514,2010-06-22,Tuesday,June
291515,2010-06-24,Thursday,June
291516,2010-04-13,Tuesday,April
291517,2010-07-29,Thursday,July
291518,2010-10-15,Friday,October
291519,2010-11-02,Tuesday,November
291520,2010-11-26,Friday,November
291522,2010-02-05,Friday,February
291523,2010-08-08,Sunday,August
291527,2010-02-03,Wednesday,February
291529,2010-03-27,Saturday,March
291534,2010-05-22,Saturday,May
291536,2010-01-12,Tuesday,January
291537,2010-03-29,Monday,March
291543,2010-08-06,Friday,August
291545,2010-01-03,Sunday,January
291546,2010-09-24,Friday,September
291547,2010-12-17,Friday,December
291548,2010-03-05,Friday,March
291549,2010-10-01,Friday,October
291550,2010-09-25,Saturday,September
291552,2010-04-08,Thursday,April
291553,2010-06-28,Monday,June
291554,2010-12-04,Saturday,December
291556,2010-07-24,Saturday,July
291559,2010-12-27,Monday,December
291563,2010-01-11,Monday,January
291564,2010-09-28,Tuesday,September
291566,2010-03-07,Sunday,March
291567,2010-12-11,Saturday,December
291570,2010-02-12,Friday,February
291572,2010-12-14,Tuesday,December
291573,2010-08-18,Wednesday,August
291576,2010-06-29,Tuesday,June
291577,2010-03-13,Saturday,March
291578,2010-06-07,Monday,June
291579,2010-06-19,Saturday,June
291580,2010-07-06,Tuesday,July
291582,2010-12-13,Monday,December
291583,2010-10-29,Friday,October
291584,2010-11-01,Monday,November
291585,2010-11-17,Wednesday,November
291586,2010-07-05,Monday,July
291587,2010-09-27,Monday,September
291588,2010-08-23,Monday,August
291589,2010-06-27,Sunday,June
291590,2010-12-01,Wednesday,December
291591,2010-01-27,Wednesday,January
291592,2010-09-19,Sunday,September
291593,2010-07-27,Tuesday,July
291594,2010-10-08,Friday,October
291595,2010-10-31,Sunday,October
291596,2010-09-20,Monday,September
291597,2010-04-04,Sunday,April
291598,2010-01-06,Wednesday,January
291599,2010-05-04,Tuesday,May
291601,2010-05-07,Friday,May
291604,2010-10-11,Monday,October
291605,2010-12-28,Tuesday,December
291606,2010-06-20,Sunday,June
291607,2010-02-02,Tuesday,February
291608,2010-12-03,Friday,December
291610,2010-04-12,Monday,April
291611,2010-09-01,Wednesday,September
291612,2010-11-30,Tuesday,November
291613,2010-09-18,Saturday,September
291614,2010-04-14,Wednesday,April
291615,2010-04-09,Friday,April
291617,2010-02-26,Friday,February
291618,2010-08-07,Saturday,August
291621,2010-01-04,Monday,January
291622,2010-06-01,Tuesday,June
291623,2010-05-28,Friday,May
291625,2010-06-02,Wednesday,June
291626,2010-02-04,Thursday,February
291627,2010-09-09,Thursday,September
291628,2010-04-28,Wednesday,April
291630,2010-02-27,Saturday,February
291631,2010-09-05,Sunday,September
291632,2010-02-08,Monday,February
291633,2010-02-21,Sunday,February
291635,2010-08-10,Tuesday,August
291636,2010-10-02,Saturday,October
291637,2010-08-14,Saturday,August
291638,2010-02-11,Thursday,February
291639,2010-07-15,Thursday,July
291640,2010-08-22,Sunday,August
291641,2010-08-28,Saturday,August
291642,2010-10-10,Sunday,October
291643,2010-10-09,Saturday,October
291645,2010-10-22,Friday,October
291648,2010-02-16,Tuesday,February
291649,2010-08-25,Wednesday,August
291650,2010-10-24,Sunday,October
291651,2010-02-22,Monday,February
291653,2010-03-30,Tuesday,March
291656,2010-01-05,Tuesday,January
291657,2010-05-01,Saturday,May
291658,2010-05-06,Thursday,May
291659,2010-12-07,Tuesday,December
291660,2010-06-21,Monday,June
291662,2010-11-05,Friday,November
291666,2010-10-03,Sunday,October
291667,2010-12-22,Wednesday,December
291668,2010-05-08,Saturday,May
291669,2010-10-05,Tuesday,October
291671,2010-11-07,Sunday,November
291672,2010-04-22,Thursday,April
291676,2010-08-19,Thursday,August
291678,2010-03-19,Friday,March
291682,2010-10-20,Wednesday,October
291683,2010-03-03,Wednesday,March
291685,2010-01-26,Tuesday,January
291686,2010-08-09,Monday,August
291687,2010-06-18,Friday,June
291691,2010-05-19,Wednesday,May
291694,2010-07-19,Monday,July
291696,2010-05-11,Tuesday,May
291698,2010-05-24,Monday,May
291699,2010-08-21,Saturday,August
291700,2010-09-08,Wednesday,September
291705,2010-11-16,Tuesday,November
291709,2010-12-12,Sunday,December
291711,2010-02-06,Saturday,February
291712,2010-01-16,Saturday,January
291713,2010-05-02,Sunday,May
291714,2010-05-30,Sunday,May
291719,2010-05-29,Saturday,May
291720,2010-05-12,Wednesday,May
291728,2010-11-28,Sunday,November
291729,2010-11-12,Friday,November
291732,2010-10-26,Tuesday,October
291734,2010-09-30,Thursday,September
291742,2010-05-17,Monday,May
291743,2010-07-26,Monday,July
291745,2010-07-20,Tuesday,July
291746,2010-06-08,Tuesday,June
291751,2010-01-15,Friday,January
291753,2010-04-06,Tuesday,April
291754,2010-01-09,Saturday,January
291756,2010-12-05,Sunday,December
291758,2010-11-18,Thursday,November
291759,2010-03-16,Tuesday,March
291762,2010-08-01,Sunday,August
291768,2010-01-31,Sunday,January
291769,2010-12-10,Friday,December
291770,2010-07-08,Thursday,July
291775,2010-10-25,Monday,October
291776,2010-02-01,Monday,February
291779,2010-11-09,Tuesday,November
291787,2010-09-23,Thursday,September
291788,2010-09-17,Friday,September
291790,2010-09-12,Sunday,September
291798,2010-08-12,Thursday,August
291803,2010-03-04,Thursday,March
291806,2010-07-18,Sunday,July
291807,2010-06-06,Sunday,June
291808,2010-05-20,Thursday,May
291813,2010-01-18,Monday,January
291816,2010-01-08,Friday,January
291819,2010-11-15,Monday,November
291820,2010-11-19,Friday,November
291821,2010-11-25,Thursday,November
291822,2010-11-10,Wednesday,November
291823,2010-01-14,Thursday,January
291825,2010-11-24,Wednesday,November
291826,2010-07-03,Saturday,July
291828,2010-09-15,Wednesday,September
291830,2010-09-11,Saturday,September
291833,2010-12-08,Wednesday,December
291834,2010-02-09,Tuesday,February
291839,2010-01-29,Friday,January
291841,2010-07-01,Thursday,July
291848,2010-05-05,Wednesday,May
291849,2010-07-09,Friday,July
291853,2010-04-21,Wednesday,April
291861,2010-07-04,Sunday,July
291862,2010-03-24,Wednesday,March
291865,2010-04-25,Sunday,April
291870,2010-02-19,Friday,February
291877,2010-03-25,Thursday,March
291879,2010-06-26,Saturday,June
291883,2010-06-16,Wednesday,June
291888,2010-06-11,Friday,June
291893,2010-01-25,Monday,January
291894,2010-05-21,Friday,May
291895,2010-02-24,Wednesday,February
291896,2010-04-15,Thursday,April
291899,2010-01-23,Saturday,January
291902,2010-08-31,Tuesday,August
291910,2010-03-17,Wednesday,March
291911,2010-05-23,Sunday,May
291912,2010-02-23,Tuesday,February
291918,2010-12-16,Thursday,December
291923,2010-11-29,Monday,November
291926,2010-11-23,Tuesday,November
291933,2010-06-12,Saturday,June
291935,2010-07-22,Thursday,July
291941,2010-12-20,Monday,December
291944,2010-07-02,Friday,July
291949,2010-12-15,Wednesday,December
291950,2010-11-27,Saturday,November
291954,2010-09-21,Tuesday,September
291955,2010-03-18,Thursday,March
291957,2010-01-13,Wednesday,January
291959,2010-03-01,Monday,March
291966,2010-09-06,Monday,September
291976,2010-06-05,Saturday,June
291984,2010-03-28,Sunday,March
291988,2010-03-10,Wednesday,March
291989,2010-03-15,Monday,March
291991,2010-08-30,Monday,August
291998,2010-04-10,Saturday,April
292009,2010-05-25,Tuesday,May
292012,2010-01-07,Thursday,January
292014,2010-04-29,Thursday,April
292018,2010-08-05,Thursday,August
292020,2010-07-25,Sunday,July
292023,2010-08-26,Thursday,August
292031,2010-02-07,Sunday,February
292034,2010-11-13,Saturday,November
292045,2010-03-11,Thursday,March
292046,2010-05-18,Tuesday,May
292047,2010-05-14,Friday,May
292058,2010-09-16,Thursday,September
292061,2010-04-26,Monday,April
292065,2010-02-14,Sunday,February
292068,2010-04-20,Tuesday,April
292069,2010-04-17,Saturday,April
292079,2010-10-14,Thursday,October
292080,2010-06-13,Sunday,June
292082,2010-04-05,Monday,April
292086,2010-11-03,Wednesday,November
292087,2010-12-19,Sunday,December
292092,2010-03-26,Friday,March
292095,2010-09-14,Tuesday,September
292099,2010-11-14,Sunday,November
292103,2010-10-04,Monday,October
292112,2010-03-12,Friday,March
292114,2010-02-17,Wednesday,February
292126,2010-06-09,Wednesday,June
292138,2010-08-11,Wednesday,August
292140,2010-05-09,Sunday,May
292148,2010-08-13,Friday,August
292163,2010-07-23,Friday,July
292167,2010-02-25,Thursday,February
292170,2010-03-09,Tuesday,March
292178,2010-03-23,Tuesday,March
292179,2010-03-31,Wednesday,March
292180,2010-04-02,Friday,April
292183,2010-03-02,Tuesday,March
292184,2010-04-19,Monday,April
292192,2010-05-10,Monday,May
292194,2010-05-13,Thursday,May
292207,2010-06-25,Friday,June
292211,2010-07-28,Wednesday,July
292212,2010-08-02,Monday,August
292221,2010-11-11,Thursday,November
292231,2010-11-04,Thursday,November
292232,2010-11-22,Monday,November
292237,2010-12-06,Monday,December
292249,2010-01-01,Friday,January
292252,2010-04-16,Friday,April
292253,2010-06-15,Tuesday,June
292260,2010-06-14,Monday,June
292273,2010-01-30,Saturday,January
292282,2010-07-10,Saturday,July
292297,2010-02-15,Monday,February
292301,2010-12-21,Tuesday,December
292333,2010-04-01,Thursday,April
292337,2010-03-06,Saturday,March
292339,2010-12-09,Thursday,December
292357,2010-12-31,Friday,December
292360,2010-06-04,Friday,June
292377,2010-07-11,Sunday,July
292385,2010-07-13,Tuesday,July
292387,2010-07-17,Saturday,July
292392,2010-09-02,Thursday,September
292396,2010-06-30,Wednesday,June
292402,2010-01-22,Friday,January
292404,2010-11-20,Saturday,November
292410,2010-08-27,Friday,August
292415,2010-07-12,Monday,July
292426,2010-07-30,Friday,July
292430,2010-05-16,Sunday,May
292438,2010-01-20,Wednesday,January
292461,2010-06-17,Thursday,June
292462,2010-05-03,Monday,May
292488,2010-10-06,Wednesday,October
292508,2010-01-19,Tuesday,January
292520,2010-08-17,Tuesday,August
292531,2010-08-03,Tuesday,August
292563,2010-04-11,Sunday,April
292580,2010-02-28,Sunday,February
292588,2010-03-14,Sunday,March
292611,2010-10-16,Saturday,October
292614,2010-03-21,Sunday,March
292620,2010-09-10,Friday,September
292679,2010-07-07,Wednesday,July
292741,2010-03-20,Saturday,March
292754,2010-04-24,Saturday,April
292820,2010-02-13,Saturday,February
292822,2010-07-16,Friday,July
292824,2010-05-15,Saturday,May
292847,2010-08-04,Wednesday,August
292887,2010-09-22,Wednesday,September
292913,2010-07-21,Wednesday,July
292935,2010-10-21,Thursday,October
292964,2010-09-04,Saturday,September
292984,2010-10-18,Monday,October
293030,2010-09-13,Monday,September
293068,2010-05-31,Monday,May
293129,2010-10-12,Tuesday,October
293135,2010-11-08,Monday,November
293140,2010-06-10,Thursday,June
293156,2010-04-30,Friday,April
293235,2010-10-27,Wednesday,October
293315,2010-09-07,Tuesday,September
293381,2010-03-22,Monday,March
293499,2010-12-25,Saturday,December
293552,2010-01-28,Thursday,January
293563,2010-01-10,Sunday,January
293692,2010-02-18,Thursday,February
294239,2010-06-03,Thursday,June
296059,2010-05-27,Thursday,May
321159,2011-06-13,Monday,June
321160,2011-06-15,Wednesday,June
321161,2011-11-25,Friday,November
321162,2011-06-14,Tuesday,June
321163,2011-01-26,Wednesday,January
321164,2011-02-25,Friday,February
321165,2011-03-29,Tuesday,March
321166,2011-03-18,Friday,March
321167,2011-01-28,Friday,January
321168,2011-12-14,Wednesday,December
321170,2011-03-21,Monday,March
321172,2011-03-31,Thursday,March
321173,2011-02-02,Wednesday,February
321174,2011-06-10,Friday,June
321176,2011-01-10,Monday,January
321177,2011-04-13,Wednesday,April
321178,2011-02-20,Sunday,February
321179,2011-12-24,Saturday,December
321180,2011-12-07,Wednesday,December
321182,2011-09-28,Wednesday,September
321184,2011-01-01,Saturday,January
321185,2011-03-03,Thursday,March
321186,2011-03-11,Friday,March
321187,2011-03-22,Tuesday,March
321188,2011-02-01,Tuesday,February
321191,2011-05-11,Wednesday,May
321192,2011-06-09,Thursday,June
321193,2011-09-21,Wednesday,September
321194,2011-09-03,Saturday,September
321196,2011-01-07,Friday,January
321197,2011-03-30,Wednesday,March
321198,2011-04-01,Friday,April
321201,2011-07-01,Friday,July
321202,2011-05-14,Saturday,May
321203,2011-01-12,Wednesday,January
321204,2011-07-22,Friday,July
321205,2011-10-03,Monday,October
321206,2011-10-12,Wednesday,October
321207,2011-10-05,Wednesday,October
321208,2011-11-16,Wednesday,November
321212,2011-11-21,Monday,November
321215,2011-12-17,Saturday,December
321216,2011-09-02,Friday,September
321217,2011-06-26,Sunday,June
321219,2011-11-28,Monday,November
321220,2011-08-24,Wednesday,August
321221,2011-03-14,Monday,March
321222,2011-08-14,Sunday,August
321223,2011-09-08,Thursday,September
321225,2011-10-08,Saturday,October
321226,2011-06-06,Monday,June
321230,2011-02-11,Friday,February
321233,2011-07-20,Wednesday,July
321234,2011-02-14,Monday,February
321235,2011-11-09,Wednesday,November
321237,2011-09-30,Friday,September
321240,2011-05-26,Thursday,May
321242,2011-04-09,Saturday,April
321244,2011-01-08,Saturday,January
321245,2011-11-20,Sunday,November
321246,2011-04-08,Friday,April
321250,2011-02-07,Monday,February
321251,2011-03-06,Sunday,March
321253,2011-04-23,Saturday,April
321254,2011-01-04,Tuesday,January
321255,2011-07-30,Saturday,July
321256,2011-10-11,Tuesday,October
321257,2011-12-22,Thursday,December
321258,2011-09-12,Monday,September
321259,2011-04-17,Sunday,April
321260,2011-12-03,Saturday,December
321261,2011-10-20,Thursday,October
321263,2011-08-19,Friday,August
321266,2011-12-04,Sunday,December
321267,2011-03-26,Saturday,March
321268,2011-11-17,Thursday,November
321269,2011-08-02,Tuesday,August
321270,2011-02-24,Thursday,February
321271,2011-09-16,Friday,September
321274,2011-03-17,Thursday,March
321275,2011-06-05,Sunday,June
321277,2011-06-19,Sunday,June
321282,2011-12-19,Monday,December
321283,2011-11-29,Tuesday,November
321284,2011-11-18,Friday,November
321285,2011-05-10,Tuesday,May
321286,2011-12-21,Wednesday,December
321287,2011-05-13,Friday,May
321288,2011-09-25,Sunday,September
321289,2011-06-20,Monday,June
321290,2011-10-30,Sunday,October
321291,2011-08-01,Monday,August
321293,2011-10-01,Saturday,October
321294,2011-02-21,Monday,February
321295,2011-07-24,Sunday,July
321296,2011-10-19,Wednesday,October
321297,2011-07-15,Friday,July
321298,2011-01-29,Saturday,January
321299,2011-02-12,Saturday,February
321300,2011-07-17,Sunday,July
321302,2011-08-06,Saturday,August
321305,2011-03-28,Monday,March
321308,2011-11-15,Tuesday,November
321309,2011-11-26,Saturday,November
321310,2011-04-14,Thursday,April
321313,2011-06-22,Wednesday,June
321314,2011-10-23,Sunday,October
321317,2011-08-09,Tuesday,August
321319,2011-04-03,Sunday,April
321321,2011-12-12,Monday,December
321322,2011-04-19,Tuesday,April
321323,2011-05-01,Sunday,May
321328,2011-01-11,Tuesday,January
321337,2011-01-18,Tuesday,January
321339,2011-05-28,Saturday,May
321340,2011-05-02,Monday,May
321345,2011-07-03,Sunday,July
321346,2011-09-19,Monday,September
321347,2011-07-14,Thursday,July
321348,2011-05-16,Monday,May
321349,2011-10-17,Monday,October
321351,2011-04-11,Monday,April
321353,2011-03-16,Wednesday,March
321354,2011-11-10,Thursday,November
321355,2011-04-05,Tuesday,April
321356,2011-02-18,Friday,February
321358,2011-10-04,Tuesday,October
321359,2011-04-26,Tuesday,April
321360,2011-03-23,Wednesday,March
321361,2011-10-21,Friday,October
321362,2011-08-29,Monday,August
321366,2011-11-05,Saturday,November
321367,2011-02-05,Saturday,February
321372,2011-03-02,Wednesday,March
321373,2011-12-27,Tuesday,December
321374,2011-10-29,Saturday,October
321377,2011-03-04,Friday,March
321382,2011-05-04,Wednesday,May
321385,2011-06-18,Saturday,June
321389,2011-08-07,Sunday,August
321390,2011-03-12,Saturday,March
321392,2011-07-13,Wednesday,July
321397,2011-03-08,Tuesday,March
321400,2011-10-24,Monday,October
321402,2011-05-31,Tuesday,May
321404,2011-03-01,Tuesday,March
321405,2011-12-06,Tuesday,December
321408,2011-01-05,Wednesday,January
321409,2011-05-08,Sunday,May
321411,2011-05-27,Friday,May
321413,2011-02-03,Thursday,February
321414,2011-12-28,Wednesday,December
321416,2011-10-31,Monday,October
321418,2011-06-03,Friday,June
321420,2011-05-05,Thursday,May
321427,2011-06-28,Tuesday,June
321432,2011-01-25,Tuesday,January
321433,2011-09-10,Saturday,September
321439,2011-12-18,Sunday,December
321441,2011-06-27,Monday,June
321443,2011-09-06,Tuesday,September
321444,2011-10-06,Thursday,October
321448,2011-03-20,Sunday,March
321451,2011-03-15,Tuesday,March
321452,2011-11-24,Thursday,November
321455,2011-08-15,Monday,August
321456,2011-05-06,Friday,May
321457,2011-05-09,Monday,May
321458,2011-04-04,Monday,April
321460,2011-01-19,Wednesday,January
321463,2011-06-29,Wednesday,June
321465,2011-06-04,Saturday,June
321466,2011-09-17,Saturday,September
321470,2011-04-18,Monday,April
321474,2011-09-04,Sunday,September
321475,2011-10-26,Wednesday,October
321481,2011-07-04,Monday,July
321484,2011-01-03,Monday,January
321485,2011-04-25,Monday,April
321492,2011-07-29,Friday,July
321512,2011-04-06,Wednesday,April
321517,2011-05-18,Wednesday,May
321518,2011-06-30,Thursday,June
321519,2011-07-08,Friday,July
321532,2011-11-07,Monday,November
321533,2011-08-08,Monday,August
321538,2011-11-30,Wednesday,November
321540,2011-08-17,Wednesday,August
321542,2011-06-11,Saturday,June
321551,2011-01-02,Sunday,January
321556,2011-01-20,Thursday,January
321570,2011-04-02,Saturday,April
321576,2011-12-01,Thursday,December
321592,2011-08-23,Tuesday,August
321600,2011-01-15,Saturday,January
321610,2011-07-02,Saturday,July
321611,2011-01-13,Thursday,January
321614,2011-05-25,Wednesday,May
321619,2011-07-07,Thursday,July
321632,2011-07-09,Saturday,July
321642,2011-01-23,Sunday,January
321646,2011-06-25,Saturday,June
321654,2011-08-11,Thursday,August
321655,2011-12-26,Monday,December
321656,2011-02-10,Thursday,February
321661,2011-11-14,Monday,November
321665,2011-09-26,Monday,September
321667,2011-04-21,Thursday,April
321673,2011-09-09,Friday,September
321682,2011-04-22,Friday,April
321683,2011-12-10,Saturday,December
321688,2011-09-18,Sunday,September
321690,2011-05-19,Thursday,May
321691,2011-02-15,Tuesday,February
321696,2011-01-30,Sunday,January
321697,2011-02-19,Saturday,February
321701,2011-05-12,Thursday,May
321702,2011-12-08,Thursday,December
321707,2011-02-26,Saturday,February
321708,2011-01-14,Friday,January
321719,2011-07-19,Tuesday,July
321723,2011-07-21,Thursday,July
321724,2011-12-05,Monday,December
321726,2011-05-03,Tuesday,May
321729,2011-03-13,Sunday,March
321731,2011-08-27,Saturday,August
321736,2011-11-19,Saturday,November
321738,2011-11-11,Friday,November
321741,2011-05-29,Sunday,May
321743,2011-09-05,Monday,September
321755,2011-11-01,Tuesday,November
321773,2011-05-30,Monday,May
321775,2011-08-20,Saturday,August
321777,2011-01-21,Friday,January
321778,2011-05-23,Monday,May
321779,2011-01-09,Sunday,January
321782,2011-03-24,Thursday,March
321783,2011-08-31,Wednesday,August
321785,2011-08-26,Friday,August
321793,2011-08-12,Friday,August
321796,2011-07-31,Sunday,July
321798,2011-12-13,Tuesday,December
321799,2011-11-27,Sunday,November
321810,2011-06-21,Tuesday,June
321814,2011-10-10,Monday,October
321818,2011-07-23,Saturday,July
321825,2011-02-16,Wednesday,February
321827,2011-02-17,Thursday,February
321834,2011-09-07,Wednesday,September
321835,2011-07-06,Wednesday,July
321838,2011-12-11,Sunday,December
321839,2011-09-13,Tuesday,September
321851,2011-07-26,Tuesday,July
321852,2011-04-16,Saturday,April
321854,2011-07-05,Tuesday,July
321856,2011-12-15,Thursday,December
321859,2011-06-17,Friday,June
321862,2011-09-23,Friday,September
321863,2011-09-24,Saturday,September
321875,2011-11-06,Sunday,November
321877,2011-06-01,Wednesday,June
321881,2011-06-02,Thursday,June
321885,2011-09-20,Tuesday,September
321886,2011-12-31,Saturday,December
321895,2011-08-10,Wednesday,August
321906,2011-07-16,Saturday,July
321915,2011-11-04,Friday,November
321920,2011-10-15,Saturday,October
321928,2011-02-06,Sunday,February
321929,2011-03-19,Saturday,March
321938,2011-10-13,Thursday,October
321939,2011-09-29,Thursday,September
321940,2011-11-08,Tuesday,November
321943,2011-10-25,Tuesday,October
321953,2011-11-13,Sunday,November
321954,2011-10-18,Tuesday,October
321957,2011-02-04,Friday,February
321965,2011-08-16,Tuesday,August
321970,2011-11-23,Wednesday,November
321979,2011-09-15,Thursday,September
321993,2011-04-15,Friday,April
322010,2011-10-28,Friday,October
322014,2011-02-28,Monday,February
322027,2011-01-22,Saturday,January
322038,2011-03-10,Thursday,March
322039,2011-10-07,Friday,October
322047,2011-08-13,Saturday,August
322049,2011-11-02,Wednesday,November
322063,2011-12-16,Friday,December
322066,2011-06-16,Thursday,June
322072,2011-08-21,Sunday,August
322079,2011-07-11,Monday,July
322081,2011-08-03,Wednesday,August
322089,2011-08-18,Thursday,August
322091,2011-02-09,Wednesday,February
322098,2011-04-29,Friday,April
322100,2011-07-25,Monday,July
322107,2011-09-22,Thursday,September
322119,2011-09-01,Thursday,September
322127,2011-04-27,Wednesday,April
322129,2011-10-27,Thursday,October
322135,2011-01-31,Monday,January
322136,2011-02-23,Wednesday,February
322144,2011-10-14,Friday,October
322145,2011-01-24,Monday,January
322154,2011-01-06,Thursday,January
322182,2011-10-02,Sunday,October
322192,2011-04-20,Wednesday,April
322195,2011-12-20,Tuesday,December
322199,2011-07-12,Tuesday,July
322222,2011-04-30,Saturday,April
322223,2011-09-11,Sunday,September
322225,2011-09-27,Tuesday,September
322229,2011-10-09,Sunday,October
322236,2011-09-14,Wednesday,September
322245,2011-03-07,Monday,March
322246,2011-12-25,Sunday,December
322250,2011-06-12,Sunday,June
322270,2011-08-04,Thursday,August
322301,2011-03-05,Saturday,March
322306,2011-04-12,Tuesday,April
322307,2011-05-22,Sunday,May
322312,2011-02-08,Tuesday,February
322339,2011-10-22,Saturday,October
322346,2011-02-13,Sunday,February
322350,2011-05-07,Saturday,May
322369,2011-08-22,Monday,August
322403,2011-01-16,Sunday,January
322420,2011-01-27,Thursday,January
322423,2011-07-18,Monday,July
322425,2011-12-29,Thursday,December
322434,2011-08-30,Tuesday,August
322435,2011-06-23,Thursday,June
322440,2011-12-09,Friday,December
322441,2011-02-22,Tuesday,February
322442,2011-12-02,Friday,December
322489,2011-07-28,Thursday,July
322523,2011-06-07,Tuesday,June
322537,2011-01-17,Monday,January
322558,2011-04-28,Thursday,April
322594,2011-11-22,Tuesday,November
322604,2011-08-25,Thursday,August
322609,2011-05-21,Saturday,May
322633,2011-06-08,Wednesday,June
322648,2011-05-20,Friday,May
322657,2011-04-24,Sunday,April
322748,2011-07-27,Wednesday,July
322753,2011-03-27,Sunday,March
322793,2011-08-28,Sunday,August
322903,2011-12-23,Friday,December
322904,2011-03-09,Wednesday,March
322916,2011-11-03,Thursday,November
323072,2011-06-24,Friday,June
323099,2011-04-10,Sunday,April
323134,2011-11-12,Saturday,November
323144,2011-05-24,Tuesday,May
323172,2011-08-05,Friday,August
323225,2011-04-07,Thursday,April
323358,2011-02-27,Sunday,February
323387,2011-05-15,Sunday,May
323621,2011-03-25,Friday,March
323868,2011-12-30,Friday,December
323983,2011-05-17,Tuesday,May
324697,2011-07-10,Sunday,July
325111,2011-10-16,Sunday,October
349732,2012-10-21,Sunday,October
349733,2012-11-14,Wednesday,November
349734,2012-01-08,Sunday,January
349735,2012-01-11,Wednesday,January
349736,2012-07-01,Sunday,July
349737,2012-05-21,Monday,May
349738,2012-04-06,Friday,April
349739,2012-02-10,Friday,February
349740,2012-05-18,Friday,May
349741,2012-12-11,Tuesday,December
349742,2012-09-02,Sunday,September
349743,2012-02-18,Saturday,February
349744,2012-05-10,Thursday,May
349745,2012-10-25,Thursday,October
349746,2012-12-10,Monday,December
349747,2012-01-22,Sunday,January
349748,2012-09-06,Thursday,September
349749,2012-02-06,Monday,February
349750,2012-02-15,Wednesday,February
349751,2012-03-31,Saturday,March
